代碼,商品,均價
3714,富采,45.18
4934,太極,36.42
4935,茂林-KY,54.51
4942,嘉彰,41.31
4956,光鋐,14.65
4960,誠美材,11.65
4976,佳凌,41.61
5234,達興材料,116.47
5243,乙盛-KY,66.82
5244,弘凱,30.04
5484,慧友,22.69
6116,彩晶,12.16
6120,達運,15.3
6164,華興,10.68
6168,宏齊,22.4
6176,瑞儀,117.09
6209,今國光,28.47
6225,天瀚,9.63
6226,光鼎,10.21
6278,台表科,90.02
6405,悅城,24.85
6443,元晶,30.28
6456,GIS-KY,63.46
6477,安集,42.11
6668,中揚光,38.9
6706,惠特,65.49
8104,錸寶,34.94
8105,凌巨,13.76
8215,明基材,35.58
3066,李洲,18.24
3128,昇銳,32.08
3230,錦明,11.49
3297,杭特,15.9
3339,泰谷,15.44
3362,先進光,163.36
3434,哲固,31.02
3441,聯一光,37.85
3455,由田,79.45
3490,單井,23.42
3516,亞帝歐,17.21
3523,迎輝,17.9
3531,先益,28.91
3615,安可,20.32
3623,富晶通,16.76
3630,新鉅科,31.76
3666,光耀,26.7
3691,碩禾,78.26
4729,熒茂,16.4
4933,友輝,41.09
4944,兆遠,10.95
4972,湯石照明,28.2
4995,晶達,44.36
5220,萬達光電,28.55
5230,雷笛克光學,20.55
5245,智晶,39
5251,天鉞電,18.25
5281,大峽谷-KY,15.95
5315,光聯,18.71
5371,中光電,76.87
5392,能率,24.51
5432,新門,50.57
5443,均豪,31.03
6125,廣運,73.75
6167,久正,17.02
6222,上揚,32.06
6234,高僑,32.04
6244,茂迪,28.39
6246,臺龍,13.38
6419,京晨科,35.29
6517,保勝光學,81.55
6556,勝品,93.03
6560,欣普羅,30.38
6859,伯特光,126.88
7402,邑錡,82.34
8049,晶采,36.08
8064,東捷,17.53
8069,元太,180.99
8111,立碁,17.73
8240,華宏,32.21
2314,台揚,38.67
2321,東訊,15.63
2332,友訊,23.76
2345,智邦,409.79
2412,中華電,117.42
2419,仲琦,36.52
2424,隴華,34.84
2439,美律,88.61
2444,兆勁,12.22
2450,神腦,35.68
2455,全新,127.86
2485,兆赫,20.16
2498,宏達電,50.9
3025,星通,41.32
3027,盛達,45.79
3045,台灣大,93.92
3047,訊舟,15.32
3062,建漢,20.35
3138,耀登,135.56
3311,閎暉,35.04
3380,明泰,36.98
3419,譁裕,18.4
3447,展達,41.44
3596,智易,138.97
3669,圓展,38.56
3682,亞太電,6.41
3694,海華,34.11
3704,合勤控,48.13
4904,遠傳,71.3
4906,正文,33.51
4977,眾達-KY,71.48
5388,中磊,114.39
6136,富爾特,18.61
6142,友勁,11.23
6152,百一,10.01
6216,居易,30.12
6285,啟碁,119.87
6416,瑞祺電通,83.1
6426,統新,67.15
6442,光聖,65.74
6674,鋐寶科技,27.71
6792,詠業,82.08
6863,永道-KY,140.74
8011,台通,16.77
8101,華冠,5.18
3081,聯亞,93.88
3095,及成,23.59
3152,璟德,187.37
3163,波若威,98
3221,台嘉碩,26.73
3234,光環,27.84
3306,鼎天,68.9
3363,上詮,61.72
3466,致振,24.66
3491,昇達科,139.68
3499,環天科,20.86
3558,神準,295.52
3564,其陽,42.35
3632,研勤,14.6
3664,安瑞-KY,26.54
3672,康聯訊,25.11
3684,榮昌,48.45
4903,聯光通,16.96
4905,台聯電,70.6
4908,前鼎,54.9
4909,新復興,22.7
4979,華星光,162.28
5348,系通,13.95
5353,台林,38.27
6109,亞元,15.29
6143,振曜,70.52
6163,華電網,19.38
6170,統振,51.17
6190,萬泰科,33.97
6218,豪勉,27.1
6241,易通展,13.35
6245,立端,105.98
6263,普萊德,122.94
6417,韋僑,122.78
6465,威潤,18.75
6470,宇智,70.13
6486,互動,68.93
6514,芮特-KY,49.81
6530,創威,27.6
6546,正基,85.87
6561,是方,371.66
6588,東典光電,29.06
8034,榮群,19.25
8048,德勝,78.34
8059,凱碩,13.94
8089,康全電訊,18.61
8097,常珵,53.11
8176,智捷,11.04
1471,首利,16.19
1582,信錦,59.03
2059,川湖,919.72
2308,台達電,340.7
2313,華通,42.87
2316,楠梓電,36.25
2327,國巨,460.2
2328,廣宇,38.88
2355,敬鵬,35.31
2367,燿華,16.44
2368,金像電,207.5
2375,凱美,61.22
2383,台光電,431.34
2385,群光,102.37
2392,正崴,42.85
2402,毅嘉,38.78
2413,環科,28.05
2415,錩新,35.05
2420,新巨,45.86
2421,建準,144.53
2428,興勤,158.56
2431,聯昌,10.62
2440,太空梭,14.2
2457,飛宏,69.6
2460,建通,26.1
2462,良得電,38.52
2467,志聖,44.69
2472,立隆電,54.81
2476,鉅祥,45.78
2478,大毅,44.87
2483,百容,24.45
2484,希華,34.31
2492,華新科,95.29
2493,揚博,66.7
3003,健和興,71.77
3011,今皓,32.84
3015,全漢,48.73
3021,鴻名,24.78
3023,信邦,321.21
3026,禾伸堂,93.81
3032,偉訓,68.25
3037,欣興,176.38
3042,晶技,95.42
3044,健鼎,182.59
3058,立德,20.38
3090,日電貿,51.91
3092,鴻碩,36.83
3229,晟鈦,14.5
3296,勝德,16.04
3308,聯德,47.99
3321,同泰,6.63
3338,泰碩,59.61
3376,新日興,80.57
3432,台端,10.91
3501,維熹,49.12
3533,嘉澤,785.66
3550,聯穎,15.47
3593,力銘,11.6
3605,宏致,26.87
3607,谷崧,14.59
3645,達邁,42.98
3653,健策,606.88
3679,新至陞,90.01
3715,定穎投控,41.06
4545,銘鈺,29.91
4912,聯德控股-KY,85.64
4915,致伸,64.24
4927,泰鼎-KY,52.18
4943,康控-KY,14.52
4958,臻鼎-KY,95.46
4989,榮科,26.51
4999,鑫禾,34.74
5469,瀚宇博,53.55
6108,競國,18.11
6115,鎰勝,45.25
6133,金橋,15.11
6141,柏承,16.89
6153,嘉聯益,22.02
6155,鈞寶,23.64
6191,精成科,55.95
6197,佳必琪,68.82
6205,詮欣,57.17
6213,聯茂,80.27
6224,聚鼎,56.31
6269,台郡,89.21
6282,康舒,51.31
6412,群電,110.42
6449,鈺邦,64.98
6672,騰輝電子-KY,99.07
6715,嘉基,118.41
6781,AES-KY,611.55
6834,天二科技,26.33
6835,圓裕,40.1
8039,台虹,41.77
8046,南電,232.55
8103,瀚荃,36.94
8213,志超,44.58
8249,菱光,29.26
1336,台翰,21.74
1595,川寶,38.41
1815,富喬,13.45
3078,僑威,86.81
3114,好德,26.13
3115,富榮綱,10.06
3191,和進,13.53
3202,樺晟,16.08
3206,志豐,48.71
3207,耀勝,84.36
3217,優群,122.23
3236,千如,26.15
3276,宇環,14.09
3288,點晶,22.61
3290,東浦,25.08
3294,英濟,18.23
3310,佳穎,94.19
3322,建舜電,22.16
3332,幸康,45.26
3354,律勝,14.56
3357,臺慶科,101.51
3388,崇越電,68.66
3390,旭軟,16.89
3465,進泰電子,74.23
3484,崧騰,41.44
3492,長盛,19.06
3511,矽瑪,31.57
3520,華盈,17.3
3526,凡甲,172.31
3537,堡達,36.85
3548,兆利,91.62
3597,映興,23
3609,三一東林,44.27
3624,光頡,53
3631,晟楠,--
3646,艾恩特,29.68
3689,湧德,68.29
3710,連展投控,9.91
4542,科嶠,32.2
4939,亞電,16.64
4974,亞泰,69.08
5227,立凱-KY,52.15
5228,鈺鎧,23.16
5291,邑昇,28.26
5309,系統電,35.93
5328,華容,14.06
5340,建榮,66.33
5355,佳總,7.23
5381,合正,21.73
5439,高技,101.84
5457,宣德,52.52
5460,同協,13.39
5464,霖宏,29.95
5475,德宏,12.65
5488,松普,12.53
5498,凱崴,11.05
6114,久威,34.22
6124,業強,32.59
6126,信音,32.22
6127,九豪,21.81
6134,萬旭,19.91
6156,松上,19.97
6158,禾昌,36.04
6173,信昌電,44
6174,安碁,23.13
6175,立敦,34.63
6185,幃翔,17.05
6194,育富,35.53
6203,海韻電,107.26
6204,艾華,75.16
6207,雷科,31.86
6208,日揚,47.58
6210,慶生,31.54
6217,中探針,43.83
6220,岳豐,26.36
6259,百徽,19.17
6266,泰詠,34.65
6274,台燿,125.11
6275,元山,46.65
6279,胡連,146.28
6284,佳邦,49.83
6290,良維,55.5
6292,迅德,45.85
6418,詠昇,24.76
6432,今展科,37.12
6538,倉和,172.69
6584,南俊國際,60.79
6642,富致,47.16
6664,群翊,171.14
6727,亞泰金屬,59.22
6761,穩得,78.52
6821,聯寶,40.56
8038,長園科,41.22
8042,金山電,35.18
8043,蜜望實,27.34
8071,能率網通,15.64
8074,鉅橡,19.04
8091,翔名,86.9
8093,保銳,17.25
8109,博大,111.94
8121,越峰,24.95
8147,正淩,71.02
8155,博智,143.31
8182,加高,29.63
8289,泰藝,36.12
8291,尚茂,--
8358,金居,65.34
2347,聯強,59.53
2414,精技,33.08
2430,燦坤,38.8
3010,華立,87.16
3028,增你強,30.47
3033,威健,28.95
3036,文曄,66.29
3048,益登,23.66
3055,蔚華科,40.36
3209,全科,33.49
3312,弘憶股,21.68
3528,安馳,50.07
3702,大聯大,53.26
5434,崇越,169.32
6189,豐藝,43.7
6281,全國電,84.94
6776,展碁國際,52.63
8070,長華*,29.99
8072,陞泰,25.67
8112,至上,50.17
3224,三顧,44.01
3232,昱捷,23.71
3360,尚立,12.14
3444,利機,76.24
6113,亞矽,14.49
6118,建達,26.66
6154,順發,16.76
6227,茂綸,46.37
6265,方土昶,10.07
